Key,en,es,ar,fr,hi
Thank you for submitting your KYC information. Your details are currently under review. We will notify you once the verification is complete. Please note that the creation of your virtual card will proceed after your KYC is approved.,Thank you for submitting your KYC information. Your details are currently under review. We will notify you once the verification is complete. Please note that the creation of your virtual card will proceed after your KYC is approved.,Gracias por enviar su información KYC. Sus datos están actualmente bajo revisión. Le notificaremos una vez que se complete la verificación. Tenga en cuenta que la creación de su tarjeta virtual continuará después de que se apruebe su KYC.,"نشكرك على تقديم معلومات KYC الخاصة بك. التفاصيل الخاصة بك قيد المراجعة حاليًا. سنقوم بإعلامك بمجرد اكتمال عملية التحقق. يرجى ملاحظة أن إنشاء بطاقتك الافتراضية سيستمر بعد الموافقة على ""اعرف عميلك"" (KYC).",Merci d'avoir soumis vos informations KYC. Vos coordonnées sont actuellement en cours de révision. Nous vous informerons une fois la vérification terminée. Veuillez noter que la création de votre carte virtuelle se poursuivra après l'approbation de votre KYC.,अपनी केवाईसी जानकारी सबमिट करने के लिए धन्यवाद। आपके विवरण अभी समीक्षाधीन हैं. सत्यापन पूरा होने पर हम आपको सूचित करेंगे। कृपया ध्यान दें कि आपके वर्चुअल कार्ड का निर्माण आपकी केवाईसी स्वीकृत होने के बाद आगे बढ़ेगा।
Phone Code,Phone Code,Código telefónico,رمز الهاتف,Code de téléphone,फ़ोन कोड
Customer Status Updated Successfully.,Customer Status Updated Successfully.,Estado del cliente actualizado correctamente.,تم تحديث حالة العميل بنجاح.,Statut du client mis à jour avec succès.,ग्राहक स्थिति सफलतापूर्वक अपडेट की गई.
your virtual card will proceed after your KYC is approved,your virtual card will proceed after your KYC is approved,su tarjeta virtual continuará después de que se apruebe su KYC,ستتم متابعة بطاقتك الافتراضية بعد الموافقة على KYC,votre carte virtuelle sera lancée une fois votre KYC approuvé,आपकी केवाईसी स्वीकृत होने के बाद आपका वर्चुअल कार्ड आगे बढ़ेगा
Should match with your ID,Should match with your ID,Debe coincidir con tu DNI,يجب أن تتطابق مع هويتك,Doit correspondre à votre pièce d'identité,आपकी आईडी से मेल खाना चाहिए
Create Card Customer,Create Card Customer,Crear Tarjeta Cliente,إنشاء عميل البطاقة, ,कार्ड ग्राहक बनाएं
App L Restart,Restart,Reanudar,إعادة تشغيل,Redémarrage,पुनः आरंभ करें
App L Customer Status,Customer Status:,Estado del cliente:,حالة العميل:,Statut du client :,ग्राहक स्थिति:
App L Update Customer,Update Customer,Actualizar cliente,تحديث العميل,Mettre à jour le client,ग्राहक को अपडेट करें
App L Update Customer Kyc,Update Customer Kyc,Actualizar Kyc del cliente,تحديث عميل Kyc,Mettre à jour le Kyc du client,ग्राहक Kyc अपडेट करें
App L Create Card Customer,Create Card Customer,Crear Tarjeta Cliente,إنشاء عميل البطاقة,Créer un client de carte,कार्ड ग्राहक बनाएं
Setup Live Exchange Rate API,Setup Live Exchange Rate API,Configurar API de tipo de cambio en vivo,إعداد API لسعر الصرف المباشر,Configurer l'API de taux de change en direct,लाइव एक्सचेंज रेट एपीआई सेटअप करें
Exchange Rate API,Exchange Rate API,API de tipo de cambio,واجهة برمجة تطبيقات سعر الصرف,API de taux de change,विनिमय दर एपीआई
Provider Name,Provider Name,Nombre del proveedor,اسم المزود,Nom du fournisseur,प्रदाता का नाम
Invalid provider or provider not found!,Invalid provider or provider not found!,¡Proveedor no válido o proveedor no encontrado!,موفر غير صالح أو لم يتم العثور على موفر!,Fournisseur invalide ou fournisseur introuvable !,अमान्य प्रदाता या प्रदाता नहीं मिला!
Provider status updated successfully!,Provider status updated successfully!,¡El estado del proveedor se actualizó exitosamente!,تم تحديث حالة الموفر بنجاح!,Le statut du fournisseur a été mis à jour avec succès !,प्रदाता स्थिति सफलतापूर्वक अपडेट की गई!
Edit Live Exchange Rate API,Edit Live Exchange Rate API,Editar API de tipo de cambio en vivo,تحرير API سعر الصرف المباشر,Modifier l'API du taux de change en direct,लाइव विनिमय दर एपीआई संपादित करें
The Exchange Rate API Has Been Updated.,The Exchange Rate API Has Been Updated.,La API de tipo de cambio se ha actualizado.,تم تحديث واجهة برمجة التطبيقات لسعر الصرف.,L'API du taux de change a été mise à jour.,विनिमय दर एपीआई अद्यतन कर दिया गया है।
Multiply By,Multiply By,multiplicar por,اضرب ب,Multiplier par,गुणा करके
Apply Permissions For The Exchange Rate API.,Apply Permissions For The Exchange Rate API.,Aplicar permisos para la API de tipo de cambio.,تطبيق الأذونات لواجهة برمجة تطبيقات سعر الصرف.,Appliquez des autorisations pour l'API de taux de change.,विनिमय दर एपीआई के लिए अनुमतियाँ लागू करें।
Greater than zero and up to two.,Greater than zero and up to two.,Mayor que cero y hasta dos.,أكبر من الصفر وحتى اثنين.,Supérieur à zéro et jusqu'à deux.,शून्य से अधिक और दो तक.
Currency Permision,Currency Permision,Permiso de moneda,إذن العملة,Autorisation de devise,मुद्रा अनुमति
Payment Gateway Permision,Payment Gateway Permision,Permiso de pasarela de pago,إذن بوابة الدفع,Autorisation de la passerelle de paiement,भुगतान गेटवे अनुमति
Exchange Currency Rate Updated By Currency Layer API,Exchange Currency Rate Updated By Currency Layer API,Tipo de cambio de moneda actualizado por API de capa de moneda,تم تحديث سعر صرف العملة بواسطة واجهة برمجة تطبيقات طبقة العملة,Taux de change mis à jour par l'API de la couche de devises,मुद्रा परत एपीआई द्वारा अद्यतन विनिमय मुद्रा दर
SCurrencies,Supported Currencies,Monedas admitidas,العملات المدعومة,Devises prises en charge,समर्थित मुद्राएँ
Unsupported Currencies,Unsupported Currencies,Monedas no admitidas,العملات غير المدعومة,Devises non prises en charge,असमर्थित मुद्राएँ
